T,model,modality,accuracy_mean,accuracy_std,precision_mean,recall_mean,f1_mean
1,SVM,stat,0.5198899208806329,0.03143503544828763,0.5406351939745851,0.8092656142759095,0.647460161960233
1,RF,stat,0.5434330925352597,0.029950563257894813,0.5731621262803445,0.651063829787234,0.6093516058534774
1,kNN,stat,0.5175920192638459,0.05848740148190343,0.5545463714808088,0.6059254175245938,0.5790458474681771
1,SVM,wavelet,0.5563261093911248,0.02238236116170228,0.5723935471713,0.7622283230382063,0.652868164937875
1,RF,wavelet,0.5140970072239422,0.023924383164696462,0.5489082209595482,0.6318462594371997,0.5867921666990779
1,kNN,wavelet,0.5082215342277261,0.028016762891342695,0.5479695505782463,0.5739418897277511,0.5600446698317937
1,CNN,mel_spec,0.7590161678706571,0.17431540548365848,0.7943195611577964,0.9143902997025852,0.8244018389242603
1,CNN,mfcc,0.5481183350533195,0.001297631305086334,0.5481183350533195,1.0,0.7081081856661167
2,SVM,stat,0.5366666666666666,0.03615913429822786,0.5522460380693971,0.8179463459759482,0.6585790724482352
2,RF,stat,0.5059943977591036,0.03406079536068468,0.54336220642103,0.601850138760407,0.569288281350276
2,kNN,stat,0.47260504201680675,0.042514198810365146,0.5167769921045122,0.5578168362627197,0.5349372759856631
2,SVM,wavelet,0.5059103641456583,0.02606297700439576,0.5363806019489827,0.7318223866790008,0.6179345957986735
2,RF,wavelet,0.5224929971988794,0.04546526548430118,0.5575917596432813,0.6362627197039779,0.5940264834310476
2,kNN,wavelet,0.5153221288515406,0.031162210051517574,0.5533859463921555,0.5968547641073081,0.573007676874467
2,CNN,mel_spec,0.7558263305322129,0.16800502116782146,0.7378918336565394,0.9739130434782609,0.8283311729998033
2,CNN,mfcc,0.5486834733893557,0.0021288515406162395,0.5486834733893557,1.0,0.7085780885780887
4,SVM,stat,0.5023228803716608,0.06992217184549512,0.5242685518143184,0.7588932806324111,0.6171564203518027
4,RF,stat,0.47351916376306613,0.02542360466474523,0.5176017150155081,0.5565217391304348,0.5346740760476536
4,kNN,stat,0.49709639953542395,0.06537887006811251,0.5353832442067736,0.5205533596837945,0.5266068210749062
4,SVM,wavelet,0.5847851335656215,0.05199050485505639,0.5912327188940092,0.7980237154150198,0.6761787282702578
4,RF,wavelet,0.4887340301974449,0.1155271656315466,0.5152469369710749,0.5968379446640316,0.5445736714644277
4,kNN,wavelet,0.48850174216027875,0.07766501108742889,0.5332919254658386,0.566798418972332,0.5474236206110351
4,CNN,mel_spec,0.545876887340302,0.009018940143236794,0.545876887340302,1.0,0.7061920024420025
4,CNN,mfcc,0.545876887340302,0.009018940143236794,0.545876887340302,1.0,0.7061920024420025
